store_id,store_tier,region,category,date,sales
Store_001,Tier1,West,Clothing,2021-01-01,736924.53
Store_001,Tier1,West,Clothing,2021-02-01,595204.44
Store_001,Tier1,West,Clothing,2021-03-01,716030.8
Store_001,Tier1,West,Clothing,2021-04-01,757525.52
Store_001,Tier1,West,Clothing,2021-05-01,872525.9
Store_001,Tier1,West,Clothing,2021-06-01,769387.44
Store_001,Tier1,West,Clothing,2021-07-01,741805.12
Store_001,Tier1,West,Clothing,2021-08-01,780050.39
Store_001,Tier1,West,Clothing,2021-09-01,771935.4
Store_001,Tier1,West,Clothing,2021-10-01,1521136.27
Store_001,Tier1,West,Clothing,2021-11-01,1068945.2
Store_001,Tier1,West,Clothing,2021-12-01,970449.84
Store_001,Tier1,West,Clothing,2022-01-01,679139.62
Store_001,Tier1,West,Clothing,2022-02-01,555391.07
Store_001,Tier1,West,Clothing,2022-03-01,749218.4
Store_001,Tier1,West,Clothing,2022-04-01,827266.7
Store_001,Tier1,West,Clothing,2022-05-01,890039.43
Store_001,Tier1,West,Clothing,2022-06-01,718011.75
Store_001,Tier1,West,Clothing,2022-07-01,709087.34
Store_001,Tier1,West,Clothing,2022-08-01,739320.06
Store_001,Tier1,West,Clothing,2022-09-01,741338.82
Store_001,Tier1,West,Clothing,2022-10-01,1481470.24
Store_001,Tier1,West,Clothing,2022-11-01,1092202.84
Store_001,Tier1,West,Clothing,2022-12-01,1026339.3
Store_001,Tier1,West,Clothing,2023-01-01,693327.57
Store_001,Tier1,West,Clothing,2023-02-01,557138.76
Store_001,Tier1,West,Clothing,2023-03-01,722711.49
Store_001,Tier1,West,Clothing,2023-04-01,916761.3
Store_001,Tier1,West,Clothing,2023-05-01,872591.92
Store_001,Tier1,West,Clothing,2023-06-01,716443.75
Store_001,Tier1,West,Clothing,2023-07-01,678185.82
Store_001,Tier1,West,Clothing,2023-08-01,771135.08
Store_001,Tier1,West,Clothing,2023-09-01,803056.94
Store_001,Tier1,West,Clothing,2023-10-01,1440747.15
Store_001,Tier1,West,Clothing,2023-11-01,1190160.63
Store_001,Tier1,West,Clothing,2023-12-01,994910.48
Store_001,Tier1,West,Clothing,2024-01-01,694229.65
Store_001,Tier1,West,Clothing,2024-02-01,582341.66
Store_001,Tier1,West,Clothing,2024-03-01,794038.13
Store_001,Tier1,West,Clothing,2024-04-01,765783.98
Store_001,Tier1,West,Clothing,2024-05-01,938951.36
Store_001,Tier1,West,Clothing,2024-06-01,810604.31
Store_001,Tier1,West,Clothing,2024-07-01,694330.37
Store_001,Tier1,West,Clothing,2024-08-01,721698.02
Store_001,Tier1,West,Clothing,2024-09-01,825517.5
Store_001,Tier1,West,Clothing,2024-10-01,1374662.08
Store_001,Tier1,West,Clothing,2024-11-01,1079990.3
Store_001,Tier1,West,Clothing,2024-12-01,1041521.19
Store_001,Tier1,West,Electronics,2021-01-01,1076199.96
